,Station,Count
0,Chiang Saen,6
1,Pakse,6
2,Khong Chiam,5
4,Nakhon Phanom,5
3,Luang Prabang,5
5,Can Tho,4
6,Stung Treng,4
7,Kratie,4
8,Kompong Cham,4
9,Nong Khai,4
10,Mukdahan,4
16,Lumphat,3
22,Tan Chau,3
21,Vientiane KM4,3
20,Phung Hiep,3
17,Phnom Penh Port,3
19,Chau Doc,3
15,My Thuan,3
12,Chiang Khan,3
11,Duc Xuyen,3
18,Kontum,3
13,Vam Nao,3
14,Ban Don,3
50,Ban Kamphun,2
49,Ban Huai Khayuong,2
48,Ban Tad Ton,2
47,Ban Nong Kiang,2
37,Chaktomuk,2
45,Yasothom,2
44,Ban Tha Mai Liam,2
43,Battambang,2
42,Ban Tha Ton,2
41,Ban Huai Yano Mai,2
40,Ban Na Luang,2
39,Ban Pak Kanhoung,2
38,Cau 14 (Buon Bur),2
46,Ban Chot,2
36,Chantangoy,2
35,Ban Pak Huai,2
28,Cai Lay,2
34,Ban Kengdone,2
23,Vi Thanh,2
25,Cho Moi,2
26,Tan Hiep,2
27,My Tho,2
24,Dai Ngai,2
29,Jinghong,2
30,Giang Son,2
31,Cho Lach,2
32,Vam Kenh,2
33,Chroy Chang Var,2
61,Pleiku,1
70,Phnom Penh (Ville),1
69,Vientiane,1
68,Yasothon,1
67,Ca Mau,1
66,Batri,1
65,Ben Luc,1
64,Dak Nong,1
63,Buon Me Thuoc,1
62,Buon Ho,1
55,Nakhon Phanom (DSMP),1
60,Dak To,1
59,Cai Be,1
58,Mukdahan (DSMP),1
57,Dinh An,1
56,Stung Treng (DSMP),1
54,Kratie (DSMP),1
53,Pakse (DSMP),1
52,Nong Khai (DSMP),1
51,Chiang Saen (DSMP),1
71,Khong Chiam (DSMP),1
